time,theta,theta_dot,gamma,sign,u,duty
364.1404,0.0057,-0.4375,-0.0694,-1,0.1,2107
364.1514,0.0057,-0.375,-0.0694,-1,0.1,2107
364.1621,0.0057,-0.625,-0.0694,-1,0.1,2107
364.1706,0.0056,-0.625,-0.0694,-1,0.1,2107
364.1819,0.0054,-0.6875,-0.0694,-1,0.1,2107
364.1904,0.0054,-0.6875,-0.0694,-1,0.1,2107
364.2014,0.0053,-0.6875,-0.0694,-1,0.1,2107
364.2094,0.0051,-0.9375,-0.0694,-1,0.1,2107
364.22,0.0049,-0.875,-0.0694,-1,0.1,2107
364.2311,0.0047,-1.0,-0.0694,-1,0.1,2107
364.2408,0.0046,-0.9375,-0.0694,-1,0.1,2107
364.2497,0.0044,-1.0,-0.0694,-1,0.1,2107
364.2575,0.0042,-1.0,-0.0694,-1,0.1,2107
364.2685,0.0041,-0.8125,-0.0694,-1,0.1,2107
364.2745,0.0041,-0.8125,-0.0694,-1,0.1,2107
364.2848,0.0039,-1.125,-0.0694,-1,0.1,2107
364.292,0.0037,-0.9375,-0.0694,-1,0.1,2107
364.3031,0.0035,-1.1875,-0.0694,-1,0.1,2107
364.3143,0.0034,-1.125,-0.0694,-1,0.1,2107
364.3237,0.0032,-1.125,-0.0694,-1,0.1,2107
364.335,0.003,-1.0,-0.0694,-1,0.1,2107
364.3439,0.0028,-0.9375,-0.0694,-1,0.1,2107
364.3549,0.0027,-1.0625,-0.0694,-1,0.1,2107
364.3629,0.0025,-0.9375,-0.0694,-1,0.1,2107
364.3739,0.0022,-1.125,-0.0694,-1,0.1,2107
364.3847,0.0021,-1.0625,-0.0694,-1,0.1,2107
364.3944,0.002,-0.875,-0.0694,-1,0.1,2107
364.4033,0.0019,-0.875,-0.0694,-1,0.1,2107
364.411,0.0017,-0.9375,-0.0694,-1,0.1,2107
364.4221,0.0015,-0.9375,-0.0694,-1,0.1,2107
364.4281,0.0015,-0.9375,-0.0694,-1,0.1,2107
364.4384,0.0014,-0.9375,-0.0694,-1,0.1,2107
364.4459,0.0012,-0.9375,-0.0694,-1,0.1,2107
364.4569,0.001,-0.75,-0.0694,-1,0.1,2107
364.4682,0.0009,-0.8125,-0.0694,-1,0.1,2107
364.4775,0.0009,-0.6875,-0.0694,-1,0.1,2107
364.4888,0.0007,-0.625,-0.0694,-1,0.1,2107
364.4975,0.0007,-0.5625,-0.0694,-1,0.1,2107
364.5085,0.0007,-0.5,-0.0694,-1,0.1,2107
364.5164,0.0007,-0.4375,-0.0694,-1,0.1,2107
364.5275,0.0007,-0.4375,-0.0694,-1,0.1,2107
364.5377,0.0007,-0.3125,-0.0694,-1,0.1,2107
364.5464,0.0007,-0.5,-0.0694,-1,0.1,2107
364.5553,0.0007,-0.3125,-0.0694,-1,0.1,2107
364.563,0.0007,-0.1875,-0.0694,-1,0.1,2107
364.5742,0.0007,-0.25,-0.0694,-1,0.1,2107
364.5808,0.0007,-0.25,-0.0694,-1,0.1,2107
364.5912,0.0007,-0.1875,-0.0694,-1,0.1,2107
364.5988,0.0007,-0.0625,-0.0694,-1,0.1,2107
364.6098,0.0007,0.0625,-0.0694,1,4.82,4095
364.6206,0.0007,0.125,-0.0694,1,4.82,4095
364.63,0.0007,0.0625,-0.0694,1,4.82,4095
364.6404,0.0007,0.1875,-0.0694,1,4.82,4095
364.6487,0.0007,0.25,-0.0694,1,4.82,4095
364.659,0.0007,0.25,-0.0694,1,4.82,4095
364.6655,0.0007,0.3125,-0.0694,1,4.82,4095
364.6751,0.0007,0.375,-0.0694,1,4.82,4095
364.6828,0.0007,0.375,-0.0694,1,4.82,4095
364.6927,0.0009,0.625,-0.0694,1,4.82,4095
364.7009,0.0009,0.4375,-0.0694,1,4.82,4095
364.7119,0.0009,0.5,-0.0694,1,4.82,4095
364.7186,0.0009,0.625,-0.0694,1,4.82,4095
364.7296,0.0009,0.5625,-0.0694,1,4.82,4095
364.7354,0.0009,0.5625,-0.0694,1,4.82,4095
364.7464,0.0009,0.5625,-0.0694,1,4.82,4095
364.7575,0.001,0.75,-0.0694,1,4.82,4095
364.7662,0.0012,0.75,-0.0694,1,4.82,4095
364.7774,0.0012,0.5,-0.0694,1,4.82,4095
364.7862,0.0012,0.6875,-0.0694,1,4.82,4095
364.7975,0.0014,0.75,-0.0694,1,4.82,4095
364.8063,0.0015,0.8125,-0.0694,1,4.82,4095
364.8168,0.0017,0.75,-0.0694,1,4.82,4095
364.8254,0.0019,0.9375,-0.0694,1,4.82,4095
